"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006952","defense response","197/442","403/1987",1.07417717802868e-41,2.42978877670088e-38,1.85663044876116e-38,"Lcn2/Ifitm6/Fpr2/Ngp/Mmp8/Anxa1/Ifitm1/Cd177/Wfdc21/S100a9/Wfdc17/Saa3/Clec5a/Pld1/Plscr1/S100a8/Clec4e/Fpr1/Cebpb/Acod1/Tlr4/Chi3l1/Trem1/Cd14/App/Anxa3/Slc15a3/Ifnar2/Ier3/Ifitm2/Ifi207/Hp/Clec4n/Slc11a1/Il1r2/Cd300lf/Ccr5/Irf7/Oas2/Ifih1/Tlr2/C5ar1/Zbp1/Iigp1c/Lamp2/Cfb/Ifit1/Ggt1/Mlkl/Rab20/Cmklr1/Ifitm3/Casp4/Hck/C3/Il1rn/Pglyrp1/Iigp1/Fcgr1/Ceacam1/Ifi204/Fcgr4/Cxcl10/Jun/Socs3/Ccr1/Dhx58/Trafd1/Lgals3/Nr1h3/Acer3/Mx1/Ffar2/Itgam/Lbp/Grn/Nampt/Batf2/Chil3/Gbp2b/Ltf/Nupr1/Clec4a2/Gbp2/Aif1/Tmem106a/Emilin1/Gbp7/Trem3/Oasl1/Tirap/Lgals9/Cdc42ep2/Dtx3l/Plac8/Ifit3/Rtp4/Il1rap/Oas3/Smpdl3b/Adam8/Tlr13/Il36g/Dbi/Ccrl2/Cfp/N4bp1/Lrp1/Padi4/Oasl2/Bst1/Trim30d/Ly96/Irgm2/Irgm1/Ifit2/Marco/Slpi/Ifi44l/Gbp6/Mefv/Emilin2/Bst2/Pla2g7/Eif2ak2/Fcgr3/Fosl2/Naip2/Xcl1/Samhd1/Orm1/Herc6/Ctsc/Casp1/Gbp3/Cers6/Serpinb9/Fgr/Cd68/Il18/Parp14/Rnf213/C1ra/Cxcl9/C1qc/Arg1/Trim30a/Arg2/Saa1/Slamf8/Cxcl1/Mrc1/Gzmb/Serping1/Cxcr2/Apcs/Timp1/Cxcl2/Nfe2l2/Hpx/Itih4/Irf1/Saa2/Serpina3n/Ifi47/Cfh/C1qb/Selp/Fga/Crp/Stat1/Kng1/F2/Kit/Ahsg/C1qa/Cd5l/Ifng/Fgg/Treml4/Serpina1b/Fgb/Cfi/Ddx60/Camp/Hrg/Apoa1/Hc/Cxcl13/C8a/Trf/Slc7a2/Hamp/Clec4a3/Rnase4/Ednrb/Fcna",197
"GO:0098542","defense response to other organism","152/442","296/1987",1.21024113903209e-33,1.2080976709762e-30,9.23121771949798e-31,"Lcn2/Ifitm6/Fpr2/Anxa1/Ifitm1/Cd177/Wfdc21/S100a9/Wfdc17/Clec5a/Pld1/Plscr1/S100a8/Clec4e/Cebpb/Acod1/Tlr4/Trem1/Cd14/App/Anxa3/Slc15a3/Ifnar2/Ifitm2/Ifi207/Hp/Clec4n/Slc11a1/Cd300lf/Irf7/Oas2/Ifih1/Tlr2/C5ar1/Zbp1/Lamp2/Cfb/Ifit1/Mlkl/Rab20/Ifitm3/Casp4/Hck/C3/Pglyrp1/Iigp1/Fcgr1/Ceacam1/Ifi204/Fcgr4/Cxcl10/Ccr1/Dhx58/Trafd1/Lgals3/Nr1h3/Mx1/Ffar2/Lbp/Grn/Batf2/Gbp2b/Ltf/Clec4a2/Gbp2/Tmem106a/Emilin1/Gbp7/Trem3/Oasl1/Tirap/Lgals9/Cdc42ep2/Dtx3l/Plac8/Ifit3/Rtp4/Il1rap/Oas3/Smpdl3b/Adam8/Tlr13/Il36g/Cfp/N4bp1/Padi4/Oasl2/Trim30d/Ly96/Irgm2/Irgm1/Ifit2/Marco/Slpi/Ifi44l/Gbp6/Mefv/Emilin2/Bst2/Eif2ak2/Fosl2/Naip2/Xcl1/Samhd1/Herc6/Casp1/Gbp3/Serpinb9/Fgr/Il18/Parp14/Rnf213/C1ra/Cxcl9/C1qc/Arg1/Trim30a/Arg2/Slamf8/Cxcl1/Mrc1/Gzmb/Serping1/Apcs/Cxcl2/Nfe2l2/Hpx/Irf1/Cfh/C1qb/Fga/Crp/Stat1/Kng1/F2/C1qa/Ifng/Fgg/Treml4/Fgb/Cfi/Ddx60/Camp/Hrg/Hc/Cxcl13/C8a/Trf/Hamp/Clec4a3/Rnase4/Fcna",152
"GO:0043207","response to external biotic stimulus","174/442","367/1987",2.13633540402511e-33,1.2080976709762e-30,9.23121771949798e-31,"Lcn2/Ifitm6/Fpr2/Mmp8/Lrg1/Anxa1/Ifitm1/Cd177/Wfdc21/Slfn4/S100a9/Wfdc17/Saa3/Clec5a/Pld1/Plscr1/AA467197/S100a8/Clec4e/Cebpb/Acod1/Tlr4/Trem1/Cd14/App/Anxa3/Slc15a3/Ifnar2/Ier3/Ifitm2/Ifi207/Hp/Clec4n/Slc11a1/Cd300lf/Irf7/Oas2/Ifih1/Tlr2/C5ar1/Zbp1/Usp18/Lamp2/Cfb/Ifit1/Mlkl/Cmpk2/Rab20/Ifitm3/Casp4/Hck/C3/Pygl/Pglyrp1/Iigp1/Fcgr1/Ceacam1/Ifi204/Fcgr4/Cxcl10/Ccr1/Dhx58/Trafd1/Lgals3/Nr1h3/Mx1/Cd274/Ffar2/Lbp/Grn/Batf2/Gbp2b/Ltf/Clec4a2/Gbp2/Tmem106a/Emilin1/Gbp7/Trem3/Oasl1/Tirap/Lgals9/Cdc42ep2/Dtx3l/Plac8/Ifi44/Ifit3/Mgst1/Rtp4/Il1rap/Oas3/Smpdl3b/Adam8/Tlr13/Il36g/Cfp/N4bp1/Padi4/Oasl2/Trim30d/Ly96/Irgm2/Gdap10/Irgm1/Ifit2/Marco/Slpi/Ifi44l/Gbp6/Mefv/Emilin2/Ly6a/Bst2/Eif2ak2/Fosl2/Naip2/Mt2/Xcl1/Samhd1/Herc6/Casp1/Gbp3/Serpinb9/Fgr/Cd68/Il18/Parp14/Rnf213/C1ra/Cxcl9/C1qc/Arg1/Trim30a/Arg2/Saa1/Slamf8/Cxcl1/Mrc1/Gzmb/Serping1/Apcs/Cxcl2/Nfe2l2/Hpx/Irf1/Serpina3n/Cfh/C1qb/Fga/Crp/Stat1/Kng1/F2/C1qa/Ifng/Fgg/Cyp2e1/Treml4/Fgb/Cfi/Ddx60/Camp/Hrg/Hc/Cxcl13/C8a/Trf/Hamp/Clec4a3/Rnase4/Ednrb/Car3/Gzma/Fcna",174
"GO:0051707","response to other organism","174/442","367/1987",2.13633540402511e-33,1.2080976709762e-30,9.23121771949798e-31,"Lcn2/Ifitm6/Fpr2/Mmp8/Lrg1/Anxa1/Ifitm1/Cd177/Wfdc21/Slfn4/S100a9/Wfdc17/Saa3/Clec5a/Pld1/Plscr1/AA467197/S100a8/Clec4e/Cebpb/Acod1/Tlr4/Trem1/Cd14/App/Anxa3/Slc15a3/Ifnar2/Ier3/Ifitm2/Ifi207/Hp/Clec4n/Slc11a1/Cd300lf/Irf7/Oas2/Ifih1/Tlr2/C5ar1/Zbp1/Usp18/Lamp2/Cfb/Ifit1/Mlkl/Cmpk2/Rab20/Ifitm3/Casp4/Hck/C3/Pygl/Pglyrp1/Iigp1/Fcgr1/Ceacam1/Ifi204/Fcgr4/Cxcl10/Ccr1/Dhx58/Trafd1/Lgals3/Nr1h3/Mx1/Cd274/Ffar2/Lbp/Grn/Batf2/Gbp2b/Ltf/Clec4a2/Gbp2/Tmem106a/Emilin1/Gbp7/Trem3/Oasl1/Tirap/Lgals9/Cdc42ep2/Dtx3l/Plac8/Ifi44/Ifit3/Mgst1/Rtp4/Il1rap/Oas3/Smpdl3b/Adam8/Tlr13/Il36g/Cfp/N4bp1/Padi4/Oasl2/Trim30d/Ly96/Irgm2/Gdap10/Irgm1/Ifit2/Marco/Slpi/Ifi44l/Gbp6/Mefv/Emilin2/Ly6a/Bst2/Eif2ak2/Fosl2/Naip2/Mt2/Xcl1/Samhd1/Herc6/Casp1/Gbp3/Serpinb9/Fgr/Cd68/Il18/Parp14/Rnf213/C1ra/Cxcl9/C1qc/Arg1/Trim30a/Arg2/Saa1/Slamf8/Cxcl1/Mrc1/Gzmb/Serping1/Apcs/Cxcl2/Nfe2l2/Hpx/Irf1/Serpina3n/Cfh/C1qb/Fga/Crp/Stat1/Kng1/F2/C1qa/Ifng/Fgg/Cyp2e1/Treml4/Fgb/Cfi/Ddx60/Camp/Hrg/Hc/Cxcl13/C8a/Trf/Hamp/Clec4a3/Rnase4/Ednrb/Car3/Gzma/Fcna",174
"GO:0009607","response to biotic stimulus","175/442","372/1987",4.67725863905305e-33,2.1159918083076e-30,1.61685446006844e-30,"Lcn2/Ifitm6/Fpr2/Mmp8/Lrg1/Anxa1/Ifitm1/Cd177/Wfdc21/Slfn4/S100a9/Wfdc17/Saa3/Clec5a/Pld1/Plscr1/AA467197/S100a8/Clec4e/Cebpb/Acod1/Tlr4/Trem1/Cd14/App/Anxa3/Slc15a3/Ifnar2/Ier3/Ifitm2/Ifi207/Hp/Clec4n/Slc11a1/Cd300lf/Irf7/Oas2/Ifih1/Tlr2/C5ar1/Zbp1/Usp18/Lamp2/Cfb/Ifit1/Mlkl/Cmpk2/Rab20/Ifitm3/Casp4/Hck/C3/Pygl/Pglyrp1/Iigp1/Fcgr1/Ceacam1/Ifi204/Fcgr4/Cxcl10/Ccr1/Dhx58/Trafd1/Lgals3/Nr1h3/Mx1/Cd274/Ffar2/Lbp/Grn/Batf2/Gbp2b/Ltf/Clec4a2/Gbp2/Tmem106a/Emilin1/Gbp7/Trem3/Oasl1/Tirap/Lgals9/Cdc42ep2/Dtx3l/Plac8/Ifi44/Ifit3/Mgst1/Rtp4/Il1rap/Oas3/Smpdl3b/Adam8/Tlr13/Il36g/Cfp/N4bp1/Padi4/Oasl2/Trim30d/Ly96/Irgm2/Gdap10/Irgm1/Ifit2/Marco/Slpi/Ifi44l/Gbp6/Mefv/Emilin2/Pak1/Ly6a/Bst2/Eif2ak2/Fosl2/Naip2/Mt2/Xcl1/Samhd1/Herc6/Casp1/Gbp3/Serpinb9/Fgr/Cd68/Il18/Parp14/Rnf213/C1ra/Cxcl9/C1qc/Arg1/Trim30a/Arg2/Saa1/Slamf8/Cxcl1/Mrc1/Gzmb/Serping1/Apcs/Cxcl2/Nfe2l2/Hpx/Irf1/Serpina3n/Cfh/C1qb/Fga/Crp/Stat1/Kng1/F2/C1qa/Ifng/Fgg/Cyp2e1/Treml4/Fgb/Cfi/Ddx60/Camp/Hrg/Hc/Cxcl13/C8a/Trf/Hamp/Clec4a3/Rnase4/Ednrb/Car3/Gzma/Fcna",175
"GO:0044419","biological process involved in interspecies interaction between organisms","177/442","394/1987",3.62559835691461e-30,1.36685058055681e-27,1.04442675474628e-27,"Lcn2/Ifitm6/Fpr2/Mmp8/Lrg1/Anxa1/Ifitm1/Cd177/Wfdc21/Slfn4/S100a9/Wfdc17/Saa3/Clec5a/Pld1/Plscr1/AA467197/S100a8/Clec4e/Cebpb/Acod1/Tlr4/Trem1/Cd14/App/Anxa3/Slc15a3/Ifnar2/Ier3/Ifitm2/Ifi207/Hp/Clec4n/Slc11a1/Cd300lf/Irf7/Oas2/Ifih1/Tlr2/C5ar1/Zbp1/Usp18/Lamp2/Cfb/Ifit1/Mlkl/Cmpk2/Rab20/Ifitm3/Casp4/Hck/C3/Pygl/Pglyrp1/Iigp1/Fcgr1/Ceacam1/Ifi204/Fcgr4/Cxcl10/Jun/Ccr1/Dhx58/Trafd1/Lgals3/Nr1h3/Mx1/Cd274/Ffar2/Lbp/Grn/Batf2/Gbp2b/Ltf/Clec4a2/Gbp2/Tmem106a/Emilin1/Gbp7/Trem3/Oasl1/Tirap/Lgals9/Cdc42ep2/Dtx3l/Plac8/Ifi44/Ifit3/Mgst1/Rtp4/Il1rap/Oas3/Smpdl3b/Adam8/Tlr13/Il36g/Cfp/N4bp1/Padi4/Oasl2/Trim30d/Ly96/Irgm2/Gdap10/Irgm1/Ifit2/Marco/Slpi/Ifi44l/Gbp6/Mefv/Emilin2/Ly6a/Bst2/Eif2ak2/Fosl2/Naip2/Mt2/Xcl1/Samhd1/Herc6/Casp1/Gbp3/Serpinb9/Fgr/Cd68/Il18/Parp14/Rnf213/C1ra/Cxcl9/C1qc/Arg1/Trim30a/Arg2/Saa1/Slamf8/Cxcl1/Mrc1/Gzmb/Serping1/Apcs/Cxcl2/Nfe2l2/Hpx/Irf1/Serpina3n/Cfh/C1qb/Fga/Crp/Stat1/Kng1/F2/C1qa/Ifng/Fgg/Cyp2e1/Treml4/Plg/Fgb/Cfi/Ddx60/Camp/Hrg/Hc/Cxcl13/C8a/Trf/Hamp/Clec4a3/Rnase4/Ednrb/Car3/Gzma/Ly6e/Fcna",177
"GO:0045087","innate immune response","128/442","244/1987",7.0069843536515e-29,2.26425694399424e-26,1.73014561033019e-26,"Lcn2/Ifitm6/Fpr2/Anxa1/Ifitm1/Cd177/Wfdc21/S100a9/Wfdc17/Clec5a/Plscr1/S100a8/Clec4e/Acod1/Tlr4/Trem1/Cd14/App/Slc15a3/Ifnar2/Ifitm2/Ifi207/Clec4n/Slc11a1/Cd300lf/Irf7/Oas2/Ifih1/Tlr2/Zbp1/Lamp2/Cfb/Ifit1/Rab20/Ifitm3/Casp4/Hck/C3/Pglyrp1/Iigp1/Fcgr1/Ceacam1/Ifi204/Fcgr4/Ccr1/Dhx58/Trafd1/Lgals3/Nr1h3/Mx1/Ffar2/Lbp/Grn/Gbp2b/Ltf/Clec4a2/Gbp2/Tmem106a/Gbp7/Trem3/Oasl1/Tirap/Lgals9/Cdc42ep2/Dtx3l/Ifit3/Il1rap/Oas3/Smpdl3b/Adam8/Tlr13/Il36g/Cfp/N4bp1/Padi4/Oasl2/Trim30d/Ly96/Irgm2/Irgm1/Ifit2/Marco/Slpi/Gbp6/Mefv/Bst2/Eif2ak2/Fosl2/Naip2/Xcl1/Samhd1/Herc6/Casp1/Gbp3/Serpinb9/Fgr/Il18/Parp14/C1ra/C1qc/Arg1/Trim30a/Arg2/Slamf8/Mrc1/Gzmb/Serping1/Apcs/Nfe2l2/Hpx/Irf1/Cfh/C1qb/Fga/Crp/Stat1/C1qa/Ifng/Fgg/Treml4/Fgb/Cfi/Ddx60/Camp/Hc/C8a/Clec4a3/Fcna",128
"GO:0009617","response to bacterium","105/442","192/1987",2.88712673731316e-25,8.16335084975296e-23,6.23771329298449e-23,"Lcn2/Fpr2/Mmp8/Lrg1/Wfdc21/Slfn4/S100a9/Wfdc17/Saa3/Pld1/Plscr1/AA467197/S100a8/Clec4e/Cebpb/Acod1/Tlr4/Trem1/Cd14/App/Anxa3/Hp/Slc11a1/Oas2/Tlr2/C5ar1/Usp18/Cfb/Ifit1/Cmpk2/Casp4/Hck/C3/Pygl/Pglyrp1/Iigp1/Fcgr1/Ifi204/Fcgr4/Cxcl10/Dhx58/Nr1h3/Cd274/Lbp/Grn/Gbp2b/Ltf/Gbp2/Emilin1/Gbp7/Trem3/Tirap/Lgals9/Plac8/Ifi44/Ifit3/Mgst1/Oas3/Il36g/Trim30d/Ly96/Irgm2/Gdap10/Irgm1/Slpi/Gbp6/Emilin2/Ly6a/Eif2ak2/Fosl2/Naip2/Mt2/Herc6/Casp1/Gbp3/Serpinb9/Fgr/Cd68/Il18/Rnf213/Cxcl9/Trim30a/Arg2/Saa1/Slamf8/Cxcl1/Mrc1/Gzmb/Cxcl2/Serpina3n/Cfh/Fga/Stat1/F2/Ifng/Cyp2e1/Fgb/Camp/Cxcl13/Trf/Hamp/Rnase4/Ednrb/Car3/Gzma",105
"GO:0006955","immune response","177/442","445/1987",4.43024444756975e-22,1.1134681044892e-19,8.50814196831524e-20,"Lcn2/Ifitm6/Fpr2/Anxa1/Ifitm1/Olfm4/Cd177/Wfdc21/S100a9/Wfdc17/Clec5a/Plscr1/S100a8/Clec4e/Fpr1/Acod1/Tlr4/Trem1/Cd14/App/Anxa3/Slc15a3/Ifnar2/Ifitm2/Ifi207/Clec4n/Slc11a1/Csf2rb2/Csf2rb/Cd300lf/Ccr5/Irf7/Oas2/Ifih1/Tlr2/C5ar1/Zbp1/Lamp2/Cfb/Ifit1/Rab20/Cmklr1/Ifitm3/Casp4/Ltbr/Hck/Nfil3/C3/Il1rn/Pglyrp1/Iigp1/Fcgr1/Ceacam1/Pirb/Ifi204/Fcgr4/Cxcl10/Ccr1/Dhx58/Trafd1/Lgals3/Nr1h3/Mx1/Cd274/Ffar2/Il18bp/Itgam/Lbp/Grn/Gbp2b/Ltf/Clec4a2/Gbp2/Tmem106a/Gbp7/Pram1/Trem3/Oasl1/Tirap/Lgals9/Cdc42ep2/Dtx3l/Ifi44/Ifit3/Il1rap/Oas3/Smpdl3b/Adam8/Tlr13/Il36g/Ccrl2/Ctsl/Cfp/N4bp1/Lrp1/Padi4/Oasl2/Pnp/Trim30d/Ly96/Irgm2/Irgm1/Sppl2a/Ifit2/Marco/Slpi/Ifi44l/Gbp6/Mefv/Bst2/Eif2ak2/Fcgr3/Fosl2/Naip2/Xcl1/Samhd1/Herc6/Ctsc/Casp1/Serpina3g/Gbp3/Serpinb9/Fgr/Cd68/Il18/Parp14/Bmx/C1ra/Cxcl9/C1qc/Arg1/Trim30a/Arg2/Slamf8/Cxcl1/Mrc1/Gzmb/Fgl1/Serping1/Cxcr2/Apcs/Cxcl2/Nfe2l2/Hpx/Irf1/Cfh/C1qb/Fga/Crp/Stat1/Kng1/Adgre1/Vtn/F2/Kit/C1qa/Cd5l/Ifng/Fgg/Treml4/Azgp1/Fgb/Apoa2/Cfi/Ddx60/Camp/C4b/Hrg/Apoa1/Hc/Cxcl13/C8a/Trf/Hamp/Clec4a3/Rnase4/Fcna",177
"GO:0006954","inflammatory response","103/442","203/1987",2.50989360265645e-21,5.67737932920889e-19,4.33815294269673e-19,"Fpr2/Mmp8/Anxa1/S100a9/Saa3/Plscr1/S100a8/Fpr1/Cebpb/Acod1/Tlr4/Chi3l1/Cd14/App/Ier3/Hp/Slc11a1/Il1r2/Ccr5/Tlr2/C5ar1/Zbp1/Lamp2/Ggt1/Cmklr1/Casp4/Hck/C3/Il1rn/Pglyrp1/Fcgr1/Cxcl10/Jun/Socs3/Ccr1/Nr1h3/Acer3/Ffar2/Itgam/Lbp/Grn/Nampt/Chil3/Nupr1/Gbp2/Aif1/Tirap/Lgals9/Il1rap/Smpdl3b/Adam8/Tlr13/Il36g/Ccrl2/Lrp1/Bst1/Ly96/Irgm2/Irgm1/Mefv/Pla2g7/Eif2ak2/Fcgr3/Fosl2/Naip2/Xcl1/Orm1/Ctsc/Casp1/Cers6/Serpinb9/Cd68/Il18/Cxcl9/Trim30a/Saa1/Slamf8/Cxcl1/Cxcr2/Timp1/Cxcl2/Nfe2l2/Itih4/Saa2/Serpina3n/Cfh/Selp/Crp/Kng1/F2/Kit/Ahsg/C1qa/Cd5l/Ifng/Serpina1b/Camp/Apoa1/Hc/Cxcl13/Slc7a2/Hamp/Ednrb",103
