"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006952","defense response","204/516","403/1987",1.60074693949657e-33,3.72813962208751e-30,2.83753457485497e-30,"Lcn2/Fpr2/Ifitm6/Ngp/Mmp8/Anxa1/Clec5a/Cd177/Plscr1/Wfdc21/S100a9/Il1r2/Ier3/Ifitm1/Rab20/Ifitm2/Cd300lf/Cebpb/Tlr4/Slc15a3/Cd14/Fpr1/Slc11a1/Tlr2/Chi3l1/Il1rap/Trem1/S100a8/App/Wfdc17/Clec4e/Pld1/C5ar1/Chil3/Anxa3/Socs3/Clec4n/Flot1/Ltf/Alox5ap/Ccr1/Lgals3/Tirap/Il18rap/Pglyrp1/Hck/Oas2/Hp/Ggt1/Acod1/Lamp2/N4bp1/Adam8/Jun/Bcl3/Spi1/Myd88/Casp4/Ffar2/Zbp1/Acer3/Itgam/Ccr5/Irak3/Il1rn/Tlr13/Trem3/Fcer1g/Fcgr4/Clec4a2/Ifih1/Ceacam1/Ccrl2/Pla2g7/Saa3/Cxcl10/Nupr1/Emilin2/Cdc42ep2/Trafd1/Nampt/Ncf1/Fosl2/Plac8/Ifitm3/Ctnnbip1/Siglece/Fcgr1/Pik3r6/Itgb2l/Bst1/Grn/Cxcr2/Rbm47/Rtp4/Fcgr3/Camp/Dhx58/Icam1/Cyba/Parp9/Mefv/Ifit1/Mlkl/Gbp2/Cd44/Gbp2b/Samhd1/Il36g/Ifi207/Irgm2/Smpdl3b/Rab27a/Cers6/Cmklr1/Irgm1/Arg2/Tnfrsf1a/Aif1/Fgr/Naip2/Gbp7/Casp1/Emilin1/Cybb/Oasl2/Stat2/Igtp/Wfdc18/Ifi204/Thbs1/Nod1/Batf2/Ifng/Gbp3/Ifit2/Lgals9/C3/Ifi35/Zeb2/Ifit3/Oasl1/Sbno2/Cxcl2/Parp14/Cfp/Gzmb/Ctsc/Irf1/Padi4/Casp7/Slpi/Dbi/Tmem106a/Ifi47/Ggt5/Mx1/Cfb/Irf7/Trim30d/Trim30a/Vim/Nlrx1/Dtx3l/Lbp/Kit/Nfe2l2/Cd68/Selp/Eif2ak2/Xcl1/Cxcl9/Serpinb9/Gbp6/Iigp1/Iigp1c/Themis2/Myo1f/Treml4/Ly96/Ddx60/Metrnl/Mov10/Rnf213/Cxcl3/Slamf8/Csf1r/Gbp8/Ccn3/Ifi44l/Oas3/Bmp2/Stat1/Trim25/Bst2/Timp1/Clec4a3/Herc6/Rnase2a/Mpeg1/Fcgr2b/Hc/Orm1/Fgl2",204
"GO:0009607","response to biotic stimulus","185/516","372/1987",2.05071150014119e-28,1.77773827016825e-25,1.35305925152577e-25,"Lcn2/Fpr2/Ifitm6/Mmp8/Anxa1/Clec5a/Cd177/Lrg1/Plscr1/AA467197/Wfdc21/S100a9/Ier3/Ifitm1/Rab20/Ifitm2/Slfn4/Cd300lf/Cebpb/Tlr4/Slc15a3/Cd14/Slc11a1/Tlr2/Il1rap/Trem1/S100a8/App/Wfdc17/Clec4e/Pld1/C5ar1/Anxa3/Clec4n/Flot1/Ltf/Ccr1/Lgals3/Xbp1/Tirap/Il18rap/Pglyrp1/Hck/Pygl/Oas2/Hp/Acod1/Lamp2/N4bp1/Adam8/Cd274/Bcl3/Spi1/Myd88/Casp4/Ffar2/Zbp1/Irak3/Tlr13/Trem3/Fcer1g/Fcgr4/Clec4a2/Ifih1/Bak1/Ceacam1/Saa3/Cxcl10/Emilin2/Cdc42ep2/Trafd1/Ncf1/Tspo/Fosl2/Plac8/Ifitm3/Cmpk2/Fcgr1/Pik3r6/Grn/Noct/Rbm47/Gdap10/Rtp4/Camp/Dhx58/Cyba/Fkbp5/Parp9/Mefv/Ifit1/Mlkl/Gbp2/Gbp2b/Samhd1/Il36g/Ifi207/Irgm2/Smpdl3b/Rab27a/Irgm1/Arg2/Tnfrsf1a/Fgr/Naip2/Gbp7/Casp1/Mgst1/Emilin1/Cybb/Oasl2/Stat2/Igtp/Wfdc18/Ifi204/Nod1/Batf2/Ifng/Gbp3/Scarb1/Ifit2/Lgals9/C3/Pak1/Ifi35/Ifit3/Oasl1/Sbno2/Cxcl2/Parp14/Cfp/Gzmb/Usp18/Irf1/Padi4/Casp7/Slpi/Tmem106a/Mx1/Cfb/Irf7/Trim30d/Trim30a/Vim/Nlrx1/Ifi44/Dtx3l/Lbp/Nfe2l2/Cd68/Eif2ak2/Xcl1/Cxcl9/Cyp2b10/Tifab/Serpinb9/Gbp6/Iigp1/Myo1f/Treml4/Ly96/Gsdme/Ddx60/Mov10/Rnf213/Psmb9/Cxcl3/Slamf8/Csf1r/Gbp8/Ifi44l/Oas3/Bmp2/Stat1/Trim25/Bst2/Clec4a3/Herc6/Rnase2a/Ly6a/Mpeg1/Mt2/Fcgr2b/Hc/Fgl2",185
"GO:0043207","response to external biotic stimulus","183/516","367/1987",3.05322158895363e-28,1.77773827016825e-25,1.35305925152577e-25,"Lcn2/Fpr2/Ifitm6/Mmp8/Anxa1/Clec5a/Cd177/Lrg1/Plscr1/AA467197/Wfdc21/S100a9/Ier3/Ifitm1/Rab20/Ifitm2/Slfn4/Cd300lf/Cebpb/Tlr4/Slc15a3/Cd14/Slc11a1/Tlr2/Il1rap/Trem1/S100a8/App/Wfdc17/Clec4e/Pld1/C5ar1/Anxa3/Clec4n/Flot1/Ltf/Ccr1/Lgals3/Xbp1/Tirap/Il18rap/Pglyrp1/Hck/Pygl/Oas2/Hp/Acod1/Lamp2/N4bp1/Adam8/Cd274/Bcl3/Spi1/Myd88/Casp4/Ffar2/Zbp1/Irak3/Tlr13/Trem3/Fcer1g/Fcgr4/Clec4a2/Ifih1/Bak1/Ceacam1/Saa3/Cxcl10/Emilin2/Cdc42ep2/Trafd1/Ncf1/Fosl2/Plac8/Ifitm3/Cmpk2/Fcgr1/Pik3r6/Grn/Noct/Rbm47/Gdap10/Rtp4/Camp/Dhx58/Cyba/Fkbp5/Parp9/Mefv/Ifit1/Mlkl/Gbp2/Gbp2b/Samhd1/Il36g/Ifi207/Irgm2/Smpdl3b/Rab27a/Irgm1/Arg2/Tnfrsf1a/Fgr/Naip2/Gbp7/Casp1/Mgst1/Emilin1/Cybb/Oasl2/Stat2/Igtp/Wfdc18/Ifi204/Nod1/Batf2/Ifng/Gbp3/Scarb1/Ifit2/Lgals9/C3/Ifi35/Ifit3/Oasl1/Sbno2/Cxcl2/Parp14/Cfp/Gzmb/Usp18/Irf1/Padi4/Casp7/Slpi/Tmem106a/Mx1/Cfb/Irf7/Trim30d/Trim30a/Vim/Nlrx1/Ifi44/Dtx3l/Lbp/Nfe2l2/Cd68/Eif2ak2/Xcl1/Cxcl9/Cyp2b10/Tifab/Serpinb9/Gbp6/Iigp1/Myo1f/Treml4/Ly96/Gsdme/Ddx60/Mov10/Rnf213/Psmb9/Cxcl3/Slamf8/Csf1r/Gbp8/Ifi44l/Oas3/Bmp2/Stat1/Trim25/Bst2/Clec4a3/Herc6/Rnase2a/Ly6a/Mpeg1/Mt2/Fcgr2b/Hc/Fgl2",183
"GO:0051707","response to other organism","183/516","367/1987",3.05322158895363e-28,1.77773827016825e-25,1.35305925152577e-25,"Lcn2/Fpr2/Ifitm6/Mmp8/Anxa1/Clec5a/Cd177/Lrg1/Plscr1/AA467197/Wfdc21/S100a9/Ier3/Ifitm1/Rab20/Ifitm2/Slfn4/Cd300lf/Cebpb/Tlr4/Slc15a3/Cd14/Slc11a1/Tlr2/Il1rap/Trem1/S100a8/App/Wfdc17/Clec4e/Pld1/C5ar1/Anxa3/Clec4n/Flot1/Ltf/Ccr1/Lgals3/Xbp1/Tirap/Il18rap/Pglyrp1/Hck/Pygl/Oas2/Hp/Acod1/Lamp2/N4bp1/Adam8/Cd274/Bcl3/Spi1/Myd88/Casp4/Ffar2/Zbp1/Irak3/Tlr13/Trem3/Fcer1g/Fcgr4/Clec4a2/Ifih1/Bak1/Ceacam1/Saa3/Cxcl10/Emilin2/Cdc42ep2/Trafd1/Ncf1/Fosl2/Plac8/Ifitm3/Cmpk2/Fcgr1/Pik3r6/Grn/Noct/Rbm47/Gdap10/Rtp4/Camp/Dhx58/Cyba/Fkbp5/Parp9/Mefv/Ifit1/Mlkl/Gbp2/Gbp2b/Samhd1/Il36g/Ifi207/Irgm2/Smpdl3b/Rab27a/Irgm1/Arg2/Tnfrsf1a/Fgr/Naip2/Gbp7/Casp1/Mgst1/Emilin1/Cybb/Oasl2/Stat2/Igtp/Wfdc18/Ifi204/Nod1/Batf2/Ifng/Gbp3/Scarb1/Ifit2/Lgals9/C3/Ifi35/Ifit3/Oasl1/Sbno2/Cxcl2/Parp14/Cfp/Gzmb/Usp18/Irf1/Padi4/Casp7/Slpi/Tmem106a/Mx1/Cfb/Irf7/Trim30d/Trim30a/Vim/Nlrx1/Ifi44/Dtx3l/Lbp/Nfe2l2/Cd68/Eif2ak2/Xcl1/Cxcl9/Cyp2b10/Tifab/Serpinb9/Gbp6/Iigp1/Myo1f/Treml4/Ly96/Gsdme/Ddx60/Mov10/Rnf213/Psmb9/Cxcl3/Slamf8/Csf1r/Gbp8/Ifi44l/Oas3/Bmp2/Stat1/Trim25/Bst2/Clec4a3/Herc6/Rnase2a/Ly6a/Mpeg1/Mt2/Fcgr2b/Hc/Fgl2",183
"GO:0098542","defense response to other organism","155/516","296/1987",2.44122753731926e-26,1.13712378688331e-23,8.65479404809606e-24,"Lcn2/Fpr2/Ifitm6/Anxa1/Clec5a/Cd177/Plscr1/Wfdc21/S100a9/Ifitm1/Rab20/Ifitm2/Cd300lf/Cebpb/Tlr4/Slc15a3/Cd14/Slc11a1/Tlr2/Il1rap/Trem1/S100a8/App/Wfdc17/Clec4e/Pld1/C5ar1/Anxa3/Clec4n/Flot1/Ltf/Ccr1/Lgals3/Tirap/Il18rap/Pglyrp1/Hck/Oas2/Hp/Acod1/Lamp2/N4bp1/Adam8/Bcl3/Spi1/Myd88/Casp4/Ffar2/Zbp1/Irak3/Tlr13/Trem3/Fcer1g/Fcgr4/Clec4a2/Ifih1/Ceacam1/Cxcl10/Emilin2/Cdc42ep2/Trafd1/Ncf1/Fosl2/Plac8/Ifitm3/Fcgr1/Pik3r6/Grn/Rbm47/Rtp4/Camp/Dhx58/Cyba/Parp9/Mefv/Ifit1/Mlkl/Gbp2/Gbp2b/Samhd1/Il36g/Ifi207/Irgm2/Smpdl3b/Rab27a/Irgm1/Arg2/Tnfrsf1a/Fgr/Naip2/Gbp7/Casp1/Emilin1/Cybb/Oasl2/Stat2/Igtp/Wfdc18/Ifi204/Nod1/Batf2/Ifng/Gbp3/Ifit2/Lgals9/C3/Ifi35/Ifit3/Oasl1/Cxcl2/Parp14/Cfp/Gzmb/Irf1/Padi4/Casp7/Slpi/Tmem106a/Mx1/Cfb/Irf7/Trim30d/Trim30a/Vim/Nlrx1/Dtx3l/Lbp/Nfe2l2/Eif2ak2/Xcl1/Cxcl9/Serpinb9/Gbp6/Iigp1/Myo1f/Treml4/Ly96/Ddx60/Mov10/Rnf213/Cxcl3/Slamf8/Csf1r/Gbp8/Ifi44l/Oas3/Stat1/Trim25/Bst2/Clec4a3/Herc6/Rnase2a/Mpeg1/Hc/Fgl2",155
"GO:0009617","response to bacterium","115/516","192/1987",8.06671392607444e-26,3.1312294556379e-23,2.38321864061568e-23,"Lcn2/Fpr2/Mmp8/Lrg1/Plscr1/AA467197/Wfdc21/S100a9/Slfn4/Cebpb/Tlr4/Cd14/Slc11a1/Tlr2/Trem1/S100a8/App/Wfdc17/Clec4e/Pld1/C5ar1/Anxa3/Ltf/Xbp1/Tirap/Pglyrp1/Hck/Pygl/Oas2/Hp/Acod1/Cd274/Bcl3/Spi1/Myd88/Casp4/Irak3/Trem3/Fcer1g/Fcgr4/Saa3/Cxcl10/Emilin2/Ncf1/Fosl2/Plac8/Cmpk2/Fcgr1/Grn/Noct/Gdap10/Camp/Dhx58/Cyba/Fkbp5/Ifit1/Gbp2/Gbp2b/Il36g/Irgm2/Irgm1/Arg2/Tnfrsf1a/Fgr/Naip2/Gbp7/Casp1/Mgst1/Emilin1/Igtp/Wfdc18/Ifi204/Nod1/Ifng/Gbp3/Scarb1/Lgals9/C3/Ifit3/Sbno2/Cxcl2/Gzmb/Usp18/Casp7/Slpi/Cfb/Trim30d/Trim30a/Vim/Ifi44/Lbp/Cd68/Eif2ak2/Cxcl9/Cyp2b10/Tifab/Serpinb9/Gbp6/Iigp1/Myo1f/Ly96/Rnf213/Psmb9/Cxcl3/Slamf8/Gbp8/Oas3/Bmp2/Stat1/Herc6/Rnase2a/Ly6a/Mpeg1/Mt2/Fcgr2b",115
"GO:0044419","biological process involved in interspecies interaction between organisms","187/516","394/1987",2.22972739302624e-25,7.41862156908302e-23,5.64640741331757e-23,"Lcn2/Fpr2/Ifitm6/Mmp8/Anxa1/Clec5a/Cd177/Lrg1/Plscr1/AA467197/Wfdc21/S100a9/Ier3/Ifitm1/Rab20/Ifitm2/Slfn4/Cd300lf/Cebpb/Tlr4/Slc15a3/Cd14/Slc11a1/Tlr2/Il1rap/Trem1/S100a8/App/Wfdc17/Clec4e/Pld1/C5ar1/Anxa3/Clec4n/Flot1/Ltf/Ccr1/Lgals3/Xbp1/Tirap/Il18rap/Pglyrp1/Hck/Pygl/Oas2/Hp/Acod1/Lamp2/N4bp1/Adam8/Cd274/Jun/Bcl3/Spi1/Myd88/Casp4/Ffar2/Zbp1/Irak3/Tlr13/Trem3/Fcer1g/Fcgr4/Clec4a2/Ifih1/Bak1/Sap30/Ceacam1/Saa3/Cxcl10/Emilin2/Cdc42ep2/Trafd1/Ncf1/Fosl2/Plac8/Ifitm3/Cmpk2/Fcgr1/Pik3r6/Grn/Noct/Rbm47/Gdap10/Rtp4/Camp/Dhx58/Icam1/Cyba/Fkbp5/Parp9/Mefv/Ifit1/Mlkl/Gbp2/Gbp2b/Samhd1/Il36g/Ifi207/Irgm2/Smpdl3b/Rab27a/Irgm1/Arg2/Tnfrsf1a/Fgr/Naip2/Gbp7/Casp1/Mgst1/Emilin1/Cybb/Oasl2/Stat2/Igtp/Wfdc18/Ifi204/Nod1/Batf2/Ifng/Gbp3/Scarb1/Ifit2/Lgals9/C3/Ifi35/Ifit3/Oasl1/Sbno2/Cxcl2/Parp14/Cfp/Gzmb/Usp18/Irf1/Gpr15/Padi4/Casp7/Slpi/Tmem106a/Mx1/Cfb/Irf7/Trim30d/Trim30a/Vim/Nlrx1/Ifi44/Dtx3l/Lbp/Nfe2l2/Cd68/Eif2ak2/Xcl1/Cxcl9/Cyp2b10/Tifab/Serpinb9/Gbp6/Iigp1/Myo1f/Treml4/Ly96/Gsdme/Ddx60/Mov10/Rnf213/Psmb9/Cxcl3/Slamf8/Csf1r/Gbp8/Ifi44l/Oas3/Bmp2/Stat1/Trim25/Bst2/Clec4a3/Herc6/Rnase2a/Ly6a/Mpeg1/Mt2/Fcgr2b/Hc/Fgl2",187
"GO:0045087","innate immune response","133/516","244/1987",1.84916339331678e-24,5.38337692879349e-22,4.0973567820335e-22,"Lcn2/Fpr2/Ifitm6/Anxa1/Clec5a/Cd177/Plscr1/Wfdc21/S100a9/Ifitm1/Rab20/Ifitm2/Cd300lf/Tlr4/Slc15a3/Cd14/Slc11a1/Tlr2/Il1rap/Trem1/S100a8/App/Wfdc17/Clec4e/Clec4n/Flot1/Ltf/Ccr1/Lgals3/Tirap/Il18rap/Pglyrp1/Hck/Oas2/Acod1/Lamp2/N4bp1/Adam8/Spi1/Myd88/Casp4/Ffar2/Zbp1/Irak3/Tlr13/Trem3/Fcer1g/Fcgr4/Clec4a2/Ifih1/Ceacam1/Cdc42ep2/Trafd1/Ncf1/Fosl2/Ifitm3/Fcgr1/Pik3r6/Grn/Rbm47/Camp/Dhx58/Cyba/Parp9/Mefv/Ifit1/Gbp2/Gbp2b/Samhd1/Il36g/Ifi207/Irgm2/Smpdl3b/Rab27a/Irgm1/Arg2/Fgr/Naip2/Gbp7/Casp1/Cybb/Oasl2/Stat2/Igtp/Wfdc18/Ifi204/Nod1/Ifng/Gbp3/Ifit2/Lgals9/C3/Ifi35/Ifit3/Oasl1/Parp14/Cfp/Gzmb/Irf1/Padi4/Slpi/Tmem106a/Mx1/Cfb/Irf7/Trim30d/Trim30a/Vim/Nlrx1/Dtx3l/Lbp/Nfe2l2/Eif2ak2/Xcl1/Serpinb9/Gbp6/Iigp1/Myo1f/Treml4/Ly96/Ddx60/Slamf8/Csf1r/Gbp8/Oas3/Stat1/Trim25/Bst2/Clec4a3/Herc6/Rnase2a/Mpeg1/Hc",133
"GO:0042742","defense response to bacterium","63/516","89/1987",1.40166374061465e-19,3.62719427987946e-17,2.76070378853224e-17,"Lcn2/Fpr2/Wfdc21/Cebpb/Tlr4/Slc11a1/Tlr2/Trem1/App/Wfdc17/Clec4e/Pld1/C5ar1/Anxa3/Ltf/Tirap/Pglyrp1/Hck/Oas2/Hp/Bcl3/Myd88/Casp4/Trem3/Fcer1g/Emilin2/Ncf1/Plac8/Fcgr1/Grn/Camp/Cyba/Gbp2/Gbp2b/Irgm2/Irgm1/Arg2/Tnfrsf1a/Fgr/Naip2/Gbp7/Casp1/Emilin1/Igtp/Wfdc18/Nod1/Ifng/Gbp3/Lgals9/Gzmb/Casp7/Slpi/Lbp/Serpinb9/Gbp6/Iigp1/Myo1f/Rnf213/Slamf8/Gbp8/Oas3/Rnase2a/Mpeg1",63
"GO:0006954","inflammatory response","109/516","203/1987",4.19268739095473e-19,9.76476893353356e-17,7.4320900698608e-17,"Fpr2/Mmp8/Anxa1/Plscr1/S100a9/Il1r2/Ier3/Cebpb/Tlr4/Cd14/Fpr1/Slc11a1/Tlr2/Chi3l1/Il1rap/S100a8/App/C5ar1/Chil3/Socs3/Alox5ap/Ccr1/Tirap/Il18rap/Pglyrp1/Hck/Hp/Ggt1/Acod1/Lamp2/Adam8/Jun/Myd88/Casp4/Ffar2/Zbp1/Acer3/Itgam/Ccr5/Il1rn/Tlr13/Fcer1g/Ccrl2/Pla2g7/Saa3/Cxcl10/Nupr1/Nampt/Ncf1/Fosl2/Ctnnbip1/Siglece/Fcgr1/Itgb2l/Bst1/Grn/Cxcr2/Fcgr3/Camp/Icam1/Cyba/Mefv/Gbp2/Cd44/Il36g/Irgm2/Smpdl3b/Cers6/Cmklr1/Irgm1/Tnfrsf1a/Aif1/Naip2/Casp1/Cybb/Igtp/Thbs1/Ifng/Lgals9/C3/Ifi35/Zeb2/Sbno2/Cxcl2/Ctsc/Ggt5/Trim30a/Nlrx1/Lbp/Kit/Nfe2l2/Cd68/Selp/Eif2ak2/Xcl1/Cxcl9/Serpinb9/Themis2/Ly96/Metrnl/Cxcl3/Slamf8/Csf1r/Ccn3/Bmp2/Timp1/Fcgr2b/Hc/Orm1",109
