"","PROBEID","SYMBOL","ENTREZID","ENSEMBL","GENENAME"
"1","1421262_at","Lipg","16891","ENSMUSG00000053846","lipase, endothelial"
"2","1427747_a_at","Lcn2","16819","ENSMUSG00000026822","lipocalin 2"
"3","1422953_at","Fpr2","14289","ENSMUSG00000052270","formyl peptide receptor 2"
"4","1440865_at","Ifitm6","213002","ENSMUSG00000059108","interferon induced transmembrane protein 6"
"5","1418722_at","Ngp","18054","ENSMUSG00000032484","neutrophilic granule protein"
"6","1449366_at","Mmp8","17394","ENSMUSG00000005800","matrix metallopeptidase 8"
"7","1448213_at","Anxa1","16952","ENSMUSG00000024659","annexin A1"
"8","1421366_at","Clec5a","23845","ENSMUSG00000029915","C-type lectin domain family 5, member a"
"9","1437060_at","Olfm4","380924","ENSMUSG00000022026","olfactomedin 4"
"10","1424509_at","Cd177","68891","ENSMUSG00000052212","CD177 antigen"
"11","1417290_at","Lrg1","76905","ENSMUSG00000037095","leucine-rich alpha-2-glycoprotein 1"
"12","1453181_x_at","Plscr1","22038","ENSMUSG00000032369","phospholipid scramblase 1"
"13","1434848_at","Gpr27","14761","ENSMUSG00000072875","G protein-coupled receptor 27"
"14","1419681_a_at","Prok2","50501","ENSMUSG00000030069","prokineticin 2"
"15","1422438_at","Ephx1","13849","ENSMUSG00000038776","epoxide hydrolase 1, microsomal"
"16","1434046_at","AA467197","433470","ENSMUSG00000033213","expressed sequence AA467197"
"17","1434484_at","Wfdc21","66107","ENSMUSG00000051748","WAP four-disulfide core domain 21"
"18","1448756_at","S100a9","20202","ENSMUSG00000056071","S100 calcium binding protein A9 (calgranulin B)"
"19","1419532_at","Il1r2","16178","ENSMUSG00000026073","interleukin 1 receptor, type II"
"20","1426775_s_at","Scamp1","107767","ENSMUSG00000021687","secretory carrier membrane protein 1"
"21","1419647_a_at","Ier3","15937","ENSMUSG00000003541","immediate early response 3"
"22","1438164_x_at","Flot2","14252","ENSMUSG00000061981","flotillin 2"
"23","1424254_at","Ifitm1","68713","ENSMUSG00000025491","interferon induced transmembrane protein 1"
"24","1448562_at","Upp1","22271","ENSMUSG00000020407","uridine phosphorylase 1"
"25","1438097_at","Rab20","19332","ENSMUSG00000031504","RAB20, member RAS oncogene family"
"26","1433939_at","Aff3","16764","ENSMUSG00000037138","AF4/FMR2 family, member 3"
"27","1415964_at","Scd1","20249","ENSMUSG00000037071","stearoyl-Coenzyme A desaturase 1"
"28","1434758_at","Crispld2","78892","ENSMUSG00000031825","cysteine-rich secretory protein LCCL domain containing 2"
"29","1420928_at","St6gal1","20440","ENSMUSG00000022885","beta galactoside alpha 2,6 sialyltransferase 1"
"30","1417460_at","Ifitm2","80876","ENSMUSG00000060591","interferon induced transmembrane protein 2"
"31","1447806_s_at","Srpk3","56504","ENSMUSG00000002007","serine/arginine-rich protein specific kinase 3"
"32","1450357_a_at","Ccr6","12458","ENSMUSG00000040899","C-C motif chemokine receptor 6"
"33","1421457_a_at","Samsn1","67742","ENSMUSG00000022876","SAM domain, SH3 domain and nuclear localization signals, 1"
"34","1427102_at","Slfn4","20558","ENSMUSG00000000204","schlafen 4"
"35","1416301_a_at","Ebf1","13591","ENSMUSG00000057098","early B cell factor 1"
"36","1457728_at","Niban3","100037278","ENSMUSG00000043243","niban apoptosis regulator 3"
"37","1416536_at","Pwwp3a","68114","ENSMUSG00000020156","PWWP domain containing 3A, DNA repair factor"
"38","1436419_a_at","1700097N02Rik","67522","ENSMUSG00000099474","RIKEN cDNA 1700097N02 gene"
"39","1427994_at","Cd300lf","246746","ENSMUSG00000047798","CD300 molecule like family member F"
"40","1425518_at","Rapgef4","56508","ENSMUSG00000049044","Rap guanine nucleotide exchange factor (GEF) 4"
"41","1427844_a_at","Cebpb","12608","ENSMUSG00000056501","CCAAT/enhancer binding protein beta"
"42","1440900_at","Gpr174","213439","ENSMUSG00000073008","G protein-coupled receptor 174"
"43","1455660_at","Csf2rb","12983","ENSMUSG00000071713","colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)"
"44","1418162_at","Tlr4","21898","ENSMUSG00000039005","toll-like receptor 4"
"45","1416381_a_at","Prdx5","54683","ENSMUSG00000024953","peroxiredoxin 5"
"46","1425289_a_at","Cr2","12902","ENSMUSG00000026616","complement receptor 2"
"47","1418932_at","Nfil3","18030","ENSMUSG00000056749","nuclear factor, interleukin 3, regulated"
"48","1420697_at","Slc15a3","65221","ENSMUSG00000024737","solute carrier family 15, member 3"
"49","1448318_at","Plin2","11520","ENSMUSG00000028494","perilipin 2"
"50","1424831_at","Cpne2","234577","ENSMUSG00000034361","copine II"
"51","1429387_at","Grap","71520","ENSMUSG00000004837","GRB2-related adaptor protein"
"52","1417268_at","Cd14","12475","ENSMUSG00000051439","CD14 antigen"
"53","1448871_at","Mapk13","26415","ENSMUSG00000004864","mitogen-activated protein kinase 13"
