"","PROBEID","SYMBOL","ENTREZID","ENSEMBL","GENENAME"
"1","1421262_at","Lipg","16891","ENSMUSG00000053846","lipase, endothelial"
"2","1427747_a_at","Lcn2","16819","ENSMUSG00000026822","lipocalin 2"
"3","1440865_at","Ifitm6","213002","ENSMUSG00000059108","interferon induced transmembrane protein 6"
"4","1422953_at","Fpr2","14289","ENSMUSG00000052270","formyl peptide receptor 2"
"5","1416301_a_at","Ebf1","13591","ENSMUSG00000057098","early B cell factor 1"
"6","1418722_at","Ngp","18054","ENSMUSG00000032484","neutrophilic granule protein"
"7","1449366_at","Mmp8","17394","ENSMUSG00000005800","matrix metallopeptidase 8"
"8","1419681_a_at","Prok2","50501","ENSMUSG00000030069","prokineticin 2"
"9","1426170_a_at","Cd8b1","12526","ENSMUSG00000053044","CD8 subunit beta 1"
"10","1422438_at","Ephx1","13849","ENSMUSG00000038776","epoxide hydrolase 1, microsomal"
"11","1436419_a_at","1700097N02Rik","67522","ENSMUSG00000099474","RIKEN cDNA 1700097N02 gene"
"12","1457728_at","Niban3","100037278","ENSMUSG00000043243","niban apoptosis regulator 3"
"13","1417290_at","Lrg1","76905","ENSMUSG00000037095","leucine-rich alpha-2-glycoprotein 1"
"14","1448562_at","Upp1","22271","ENSMUSG00000020407","uridine phosphorylase 1"
"15","1448213_at","Anxa1","16952","ENSMUSG00000024659","annexin A1"
"16","1435996_at","Card11","108723","ENSMUSG00000036526","caspase recruitment domain family, member 11"
"17","1433939_at","Aff3","16764","ENSMUSG00000037138","AF4/FMR2 family, member 3"
"18","1453568_at","Dapl1","76747","ENSMUSG00000026989","death associated protein-like 1"
"19","1424254_at","Ifitm1","68713","ENSMUSG00000025491","interferon induced transmembrane protein 1"
"20","1437060_at","Olfm4","380924","ENSMUSG00000022026","olfactomedin 4"
"21","1440900_at","Gpr174","213439","ENSMUSG00000073008","G protein-coupled receptor 174"
"22","1416983_s_at","Foxo1","56458","ENSMUSG00000044167","forkhead box O1"
"23","1416536_at","Pwwp3a","68114","ENSMUSG00000020156","PWWP domain containing 3A, DNA repair factor"
"24","1424509_at","Cd177","68891","ENSMUSG00000052212","CD177 antigen"
"25","1434521_at","Rfx7","319758","ENSMUSG00000037674","regulatory factor X, 7"
"26","1434484_at","Wfdc21","66107","ENSMUSG00000051748","WAP four-disulfide core domain 21"
"27","1416617_at","Acss1","68738","ENSMUSG00000027452","acyl-CoA synthetase short-chain family member 1"
"28","1418553_at","Arhgef18","102098","ENSMUSG00000004568","Rho/Rac guanine nucleotide exchange factor 18"
"29","1420611_at","Prkacb","18749","ENSMUSG00000005034","protein kinase, cAMP dependent, catalytic, beta"
"30","1427102_at","Slfn4","20558","ENSMUSG00000000204","schlafen 4"
"31","1435351_at","Bend5","67621","ENSMUSG00000028545","BEN domain containing 5"
"32","1441317_x_at","Jakmip1","76071","ENSMUSG00000063646","janus kinase and microtubule interacting protein 1"
"33","1418353_at","Cd5","12507","ENSMUSG00000024669","CD5 antigen"
"34","1447806_s_at","Srpk3","56504","ENSMUSG00000002007","serine/arginine-rich protein specific kinase 3"
"35","1428466_at","Chd3","216848","ENSMUSG00000018474","chromodomain helicase DNA binding protein 3"
"36","1425518_at","Rapgef4","56508","ENSMUSG00000049044","Rap guanine nucleotide exchange factor (GEF) 4"
"37","1418762_at","Cd55","13136","ENSMUSG00000026399","CD55 molecule, decay accelerating factor for complement"
"38","1416107_at","Nsg2","18197","ENSMUSG00000020297","neuron specific gene family member 2"
"39","1450357_a_at","Ccr6","12458","ENSMUSG00000040899","C-C motif chemokine receptor 6"
"40","1425289_a_at","Cr2","12902","ENSMUSG00000026616","complement receptor 2"
"41","1448756_at","S100a9","20202","ENSMUSG00000056071","S100 calcium binding protein A9 (calgranulin B)"
"42","1456147_at","St8sia6","241230","ENSMUSG00000003418","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6"
"43","1436530_at","Wfdc17","100034251","ENSMUSG00000069792","WAP four-disulfide core domain 17"
"44","1429387_at","Grap","71520","ENSMUSG00000004837","GRB2-related adaptor protein"
"45","1420928_at","St6gal1","20440","ENSMUSG00000022885","beta galactoside alpha 2,6 sialyltransferase 1"
"46","1416630_at","Id3","15903","ENSMUSG00000007872","inhibitor of DNA binding 3"
"47","1425086_a_at","Slamf6","30925","ENSMUSG00000015314","SLAM family member 6"
"48","1449303_at","Sesn3","75747","ENSMUSG00000032009","sestrin 3"
"49","1450826_a_at","Saa3","20210","ENSMUSG00000040026","serum amyloid A 3"
"50","1455656_at","Btla","208154","ENSMUSG00000052013","B and T lymphocyte associated"
"51","1436819_at","Septin6","56526","ENSMUSG00000050379","septin 6"
"52","1452389_at","Cd27","21940","ENSMUSG00000030336","CD27 antigen"
"53","1448960_at","Cxxc5","67393","ENSMUSG00000046668","CXXC finger 5"
"54","1421366_at","Clec5a","23845","ENSMUSG00000029915","C-type lectin domain family 5, member a"
